epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,530.347,0.56977,0.49237,1.07505,0.99304,0.78571,0.95928,0.63168,1.27558,0.75213,1.49322,0.000258718,0.000258718,0.000258718
130,533.374,0.61511,0.51943,1.13905,0.91399,0.92857,0.96944,0.64823,1.27907,0.73762,1.50307,0.000247716,0.000247716,0.000247716
131,539.272,0.58992,0.45837,1.10393,0.89813,0.92857,0.97625,0.65821,1.26315,0.70914,1.5128,0.000236714,0.000236714,0.000236714
132,542.721,0.61196,0.53559,1.1475,1,0.85117,0.98125,0.65197,1.25992,0.6754,1.5288,0.000225712,0.000225712,0.000225712
133,545.794,0.55933,0.45092,1.0769,1,0.85006,0.98125,0.66639,1.24199,0.65916,1.51586,0.00021471,0.00021471,0.00021471
134,551.538,0.48848,0.43747,1.04606,0.87109,1,0.98567,0.67479,1.23397,0.65973,1.5081,0.000203707,0.000203707,0.000203707
135,554.886,0.51693,0.44135,1.05365,1,0.90994,0.98625,0.67392,1.2212,0.6447,1.46873,0.000192705,0.000192705,0.000192705
136,557.958,0.47907,0.40383,1.05045,1,0.96974,0.995,0.67529,1.21404,0.64572,1.42802,0.000181703,0.000181703,0.000181703
137,563.906,0.50934,0.43286,1.04411,0.9854,1,0.995,0.67675,1.23839,0.61701,1.43636,0.000170701,0.000170701,0.000170701
138,567.244,0.55657,0.44716,1.04635,0.98793,1,0.995,0.66512,1.21746,0.60129,1.41303,0.000159699,0.000159699,0.000159699
139,570.314,0.52421,0.46723,1.07216,0.9872,1,0.995,0.6841,1.21467,0.61061,1.40647,0.000148696,0.000148696,0.000148696
140,576.119,0.47643,0.43839,1.06319,1,0.92798,0.995,0.65061,1.22695,0.62289,1.41785,0.000137694,0.000137694,0.000137694
141,580.306,0.63158,0.68009,1.18136,1,0.99878,0.995,0.65014,1.23548,0.61237,1.4394,0.000126692,0.000126692,0.000126692
142,583.557,0.53428,0.52992,1.02677,0.99302,1,0.995,0.6596,1.24072,0.59098,1.46067,0.00011569,0.00011569,0.00011569
143,586.774,0.49469,0.52881,1.0628,1,0.99692,0.995,0.67103,1.24842,0.577,1.47722,0.000104688,0.000104688,0.000104688
144,591.606,0.57589,0.54687,1.02778,0.93217,1,0.98567,0.66114,1.2578,0.56431,1.4891,9.36854e-05,9.36854e-05,9.36854e-05
145,594.682,0.50644,0.41406,1.13703,0.92967,1,0.99033,0.65646,1.26759,0.56994,1.51318,8.26832e-05,8.26832e-05,8.26832e-05
146,597.751,0.62899,0.39709,1.12924,0.99645,1,0.995,0.65171,1.28771,0.56043,1.57062,7.1681e-05,7.1681e-05,7.1681e-05
147,603.559,0.51664,0.5461,1.00473,0.99567,1,0.995,0.64299,1.28621,0.56446,1.59832,6.06788e-05,6.06788e-05,6.06788e-05
148,610.448,0.45293,0.35531,1.07823,0.9958,1,0.995,0.64314,1.28428,0.56764,1.604,4.96766e-05,4.96766e-05,4.96766e-05
149,613.464,0.54263,0.44933,1.06641,0.9958,1,0.995,0.63577,1.27804,0.56899,1.59616,3.86744e-05,3.86744e-05,3.86744e-05
150,617.072,0.53921,0.38699,1.01244,0.99625,1,0.995,0.63633,1.27483,0.56926,1.59522,2.76722e-05,2.76722e-05,2.76722e-05
